Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
S100a8	0	2.15997054172148	0.281	0.002	0
Pf4	0	2.41964739172738	0.544	0.095	0
Uba52	0	1.7168589448027	0.869	0.417	0
Ctla2a	0	2.33502743804496	0.768	0.253	0
Gm42418	0	-1.4438613284561	0.998	0.999	0
Chil3	1.92969514688029e-298	1.67248511013277	0.288	0.007	3.16315628476618e-294
Gng11	5.53452641567179e-251	1.82177124658018	0.463	0.087	9.0721957005692e-247
S100a9	3.0199847769625e-237	2.32073264716271	0.214	0.002	4.95035904639692e-233
Myl9	1.92361419610254e-189	1.58927364352013	0.272	0.03	3.15318839025129e-185
Neb	4.22990872261163e-186	1.29724098568764	0.205	0.01	6.93366637810498e-182
Junb	4.54351047116753e-174	-1.53800298255655	0.435	0.778	7.44772236433781e-170
Vps37b	1.02041609896793e-154	-1.04885247580008	0.708	0.891	1.67266606942823e-150
Stk17b	2.95221765059434e-153	-1.49575754041632	0.321	0.685	4.83927517285425e-149
Lyz2	5.90856375201374e-148	1.30013307780523	0.356	0.085	9.68531770230093e-144
Nrgn	9.76580875171012e-141	1.48876204343764	0.346	0.084	1.60081137058032e-136
1810058I24Rik	1.38506130942567e-139	1.29613861703163	0.523	0.204	2.27039249841056e-135
Gp9	1.62232604081182e-133	1.19580061848583	0.19	0.019	2.65931684609874e-129
Clec1b	5.79895739653742e-119	1.19100846780094	0.186	0.022	9.50565096440414e-115
mt-Atp6	4.30705492769786e-110	-0.460437107125581	0.991	0.995	7.06012443748233e-106
Ubb	4.14598218588452e-108	0.673570408493293	0.961	0.795	6.79609399910191e-104
Tnfaip3	2.46653716016865e-106	-1.38885861844181	0.247	0.562	4.04314771294846e-102
mt-Nd3	2.31834323208777e-104	-1.411410422706	0.224	0.53	3.80022822603827e-100
Ppbp	4.38189029573776e-102	1.15146661134266	0.22	0.042	7.18279457277334e-98
Dusp10	9.73899609403503e-101	-1.43050898596833	0.188	0.493	1.59641623973422e-96
Tsc22d1	7.53662992044618e-100	1.26272185162507	0.279	0.074	1.23540437655954e-95
Eif5a	1.95930335020305e-99	0.948269979079247	0.645	0.352	3.21169005165284e-95
Rpl8	4.24871827278432e-96	0.417134640878065	0.997	0.974	6.96449899274806e-92
Fth1	1.76429102211288e-94	0.608044465034755	0.97	0.825	2.89202584344743e-90
Fcer1g	2.47943078576022e-93	0.946292078759127	0.157	0.021	4.06428294401815e-89
Thbs1	6.13011889786201e-90	0.928954984520139	0.147	0.019	1.00484908973754e-85
mt-Co3	7.37112359675512e-90	-0.378512374934264	0.993	0.996	1.2082745799801e-85
Retnlg	7.15916906207279e-88	0.79448071416966	0.077	0	1.17353099265497e-83
Ftl1	7.11981439693553e-87	0.783493865149271	0.844	0.609	1.16707997594567e-82
Cd9	2.75780074882614e-81	1.11522230447373	0.32	0.114	4.52058698747582e-77
mt-Nd4l	5.83959737406254e-81	0.96426043538048	0.403	0.173	9.57226801556331e-77
Tpt1	1.20274825357111e-79	0.281212274477587	0.999	1	1.97154493725377e-75
Xist	2.20005947560101e-79	-1.75223431712135	0.075	0.331	3.60633749240517e-75
Ctla2b	1.04640330126162e-75	0.920841575533064	0.17	0.035	1.71526429142806e-71
Hbb-bs	4.25157525837533e-74	-1.50692497083498	0.512	0.611	6.96918216352883e-70
Trnp1	3.06924695943443e-73	0.543872487108386	0.068	0.001	5.03110961590491e-69
Itga2b	4.51000829322457e-70	0.859812682419955	0.148	0.027	7.39280559425372e-66
mt-Co2	5.80554948170292e-70	-0.377061180081759	0.99	0.993	9.51645671040742e-66
Btg1	4.11386942193713e-69	-0.536982955643865	0.916	0.946	6.74345475643934e-65
Satb1	2.95723292523383e-67	-0.817523944806739	0.642	0.767	4.8474962110433e-63
Gimap6	2.70697928773664e-66	-0.756709644583454	0.66	0.79	4.4372804484579e-62
Hba-a2	5.85057344465077e-65	-1.70317879855521	0.089	0.3	9.59025999047155e-61
Treml1	3.81795605070293e-64	0.653807962354153	0.096	0.01	6.25839355831224e-60
Tpm2	1.01769092167734e-62	0.55732881022319	0.071	0.004	1.6681989588135e-58
S100a6	6.43117033037453e-61	0.751170633714412	0.198	0.055	1.05419744055499e-56
mt-Nd2	7.6379314677533e-59	-0.502234648240113	0.876	0.929	1.25200972619412e-54
F5	1.44506422316475e-58	0.631747353556774	0.085	0.008	2.36874927461166e-54
Gm10076	2.32936720270487e-58	0.627097590298694	0.749	0.502	3.81829871867382e-54
Cald1	2.77374831323672e-58	0.670438429145332	0.086	0.009	4.54672823505764e-54
Hba-a1	4.29381906802114e-58	-1.57284359497764	0.139	0.336	7.03842821630025e-54
Alox5ap	2.41433167606604e-56	0.595990300126293	0.102	0.015	3.95757248340745e-52
Aldh2	4.61413151718133e-55	0.767998918244476	0.13	0.027	7.56348438296364e-51
Clu	4.6556749373447e-55	0.755433048285013	0.118	0.022	7.63158235729544e-51
Wfdc21	2.90575039735678e-54	0.413077635048502	0.047	0	4.76310605134723e-50
Ifitm3	3.10701239747511e-53	0.622141101718588	0.106	0.018	5.0930147219412e-49
Rps29	3.70243557112798e-52	-0.296493250032302	0.993	0.993	6.06903238819299e-48
Wdr89	2.47313270267183e-51	0.844572103781371	0.287	0.129	4.05395912621966e-47
Jun	1.34079659725002e-50	-1.40215736219637	0.083	0.268	2.19783378221224e-46
Tmsb10	1.41667142971706e-49	0.357149150688162	0.987	0.918	2.32220780759221e-45
Klf6	2.3658736382178e-49	-1.03062976269546	0.294	0.482	3.87814006776662e-45
Ppia	6.13068011157054e-48	0.441997631612979	0.93	0.786	1.00494108388864e-43
Slpi	5.02339248357013e-47	0.468361044775426	0.062	0.005	8.23434495906816e-43
Rpl37a	5.72318019672597e-47	-0.31553513309205	0.984	0.98	9.38143697847321e-43
Ly6a	7.26041111329775e-47	0.728083576538697	0.193	0.067	1.19012658969177e-42
Wfdc17	1.148922466455e-46	0.525378109598567	0.066	0.006	1.88331370701303e-42
Vim	2.35614260763306e-46	0.732967999592076	0.327	0.155	3.86218896243212e-42
Srrm2	3.9363706464647e-45	0.505229694749449	0.796	0.608	6.45249876368493e-41
Gpx4	5.1004919275997e-45	0.70794588276112	0.362	0.186	8.36072636772143e-41
Rpl35	1.92409864261792e-44	0.406514713798436	0.929	0.821	3.15398249497929e-40
