Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Fhl2	1.44912205276359e-40	-0.522663401501029	0	0.036	2.37540086889007e-36
Eya2	1.44912205276359e-40	-0.202982663035197	0	0.036	2.37540086889007e-36
9330182L06Rik	1.44912205276359e-40	-0.240364147011537	0	0.036	2.37540086889007e-36
B3gnt6	1.44912205276359e-40	-0.401188115399821	0	0.036	2.37540086889007e-36
Gm20075	1.44912205276359e-40	-0.170609019686502	0	0.036	2.37540086889007e-36
Mccc2	1.44912205276359e-40	-0.128686039253708	0	0.036	2.37540086889007e-36
Neil2	1.44912205276359e-40	-0.240364147011537	0	0.036	2.37540086889007e-36
Ly6c1	1.44912205276359e-40	-0.289366787290258	0	0.036	2.37540086889007e-36
Gm26822	1.44912205276359e-40	-0.170609019686502	0	0.036	2.37540086889007e-36
Erfe	1.44912205276359e-40	-0.170609019686502	0	0.036	2.37540086889007e-36
C1qtnf4	6.65623311074907e-21	-0.127981320577917	0	0.036	1.09108973151399e-16
Gm43465	6.65623311074907e-21	-0.45805163576879	0	0.036	1.09108973151399e-16
Rasal1	6.65623311074907e-21	-0.202258564613501	0	0.036	1.09108973151399e-16
Gxylt2	6.65623311074907e-21	-0.288286926445747	0	0.036	1.09108973151399e-16
Zscan18	6.65623311074907e-21	-0.128142115432568	0	0.036	1.09108973151399e-16
AC113595.1	6.65623311074907e-21	-0.381029421990875	0	0.036	1.09108973151399e-16
Kcnq5	6.89959243063294e-21	-0.200200351149843	0	0.036	1.13098119122935e-16
Polq	6.89959243063294e-21	-0.373824909541011	0	0.036	1.13098119122935e-16
Ust	2.59665701125225e-14	-0.238219097935978	0	0.036	4.25644017284468e-10
Zfp81	2.59665701125225e-14	-0.201240999868289	0	0.036	4.25644017284468e-10
Ikzf2	2.65958277039945e-14	-0.286553687672152	0	0.036	4.35958807723878e-10
B630019A10Rik	2.65958277039945e-14	-0.1270466327845	0	0.036	4.35958807723878e-10
Trim36	2.65958277039945e-14	-0.236807371336879	0	0.036	4.35958807723878e-10
Wscd2	2.72400778913892e-14	-0.124451895062613	0	0.036	4.46519356795652e-10
Gm28935	2.72400778913892e-14	-0.126423920674272	0	0.036	4.46519356795652e-10
Faah	6.41846522238812e-14	-0.595387193339546	0.002	0.071	1.05211481925386e-09
Sidt1	7.09924966204039e-13	-0.302769658651088	0.002	0.071	1.16370900460166e-08
Pja1	1.00732263852404e-12	-0.884440304253688	0.009	0.143	1.6512032690686e-08
Ddx3y	5.09941547813747e-12	-0.579421501302352	0.002	0.071	8.35896185176294e-08
Sytl3	5.41755330068882e-12	-0.373275347514065	0.002	0.071	8.88045337048911e-08
Abhd15	2.79617193634204e-11	-0.532707932040752	0.003	0.071	4.58348503805188e-07
Ttll11	5.34470629680878e-11	-0.370026267341437	0.001	0.036	8.76104256172894e-07
Mettl27	5.34470629680878e-11	-0.287177673647788	0.001	0.036	8.76104256172894e-07
Ikzf4	5.34470629680878e-11	-0.200589561419866	0.001	0.036	8.76104256172894e-07
