Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
S100a8	0	3.3737497590958	0.496	0.003	0
S100a9	0	3.83866468602081	0.521	0.002	0
Chil3	3.86696738788605e-214	1.82385920537171	0.295	0.009	6.33873294222282e-210
Retnlg	3.99116961117209e-147	1.67716675717683	0.183	0	6.54232522663329e-143
S100a6	1.0461413435336e-111	1.88111880577007	0.307	0.061	1.71483489032028e-107
Il1b	4.30730208587868e-97	1.27846937577367	0.134	0.003	7.06052957917234e-93
Ifitm1	2.04740712507064e-96	1.23942759927076	0.127	0.001	3.35610975941579e-92
Cxcl2	2.77228715352697e-92	1.3089748063722	0.153	0.01	4.54433310206141e-88
Wfdc17	5.71743574256172e-70	1.23444911172589	0.167	0.026	9.37202066920717e-66
Lcn2	4.88416831298675e-62	0.734779678512683	0.077	0	8.00612869864788e-58
Lyz2	3.49352499625969e-61	1.15301004913655	0.319	0.12	5.72658617386888e-57
Apoe	2.99633249811701e-60	1.17168478642994	0.572	0.339	4.91158823091341e-56
Pf4	1.65314079179707e-57	1.96449088437179	0.353	0.156	2.70982838591376e-53
Ctla2a	9.63270014403398e-52	1.61644236856071	0.512	0.323	1.57899220761005e-47
Tyrobp	6.63168638659882e-49	1.00911128256249	0.18	0.048	1.08706603249128e-44
Malat1	1.39286001700566e-46	-0.382159836012802	0.995	0.998	2.28317613987568e-42
Wfdc21	4.03547326729181e-44	0.661702442837046	0.071	0.004	6.61494777974474e-40
Fcer1g	4.50600240898555e-43	0.978127306732076	0.154	0.038	7.38623914880911e-39
Cstdc4	4.16957723991778e-40	0.53157231197854	0.049	0	6.83477101167322e-36
Myl9	7.39460054238714e-40	1.23841230476624	0.2	0.069	1.2121229209081e-35
Rpl37	3.67569159737161e-39	-0.408390077728757	0.872	0.928	6.02519366641154e-35
Alox5ap	7.9446309811925e-39	0.831373188262328	0.131	0.031	1.30228391043707e-34
Ngp	2.20868702345192e-37	0.481804437420789	0.046	0	3.62047976884239e-33
Thbs1	5.40641716337011e-37	0.962024993528237	0.147	0.04	8.86219901419628e-33
Gng11	3.05932694014948e-36	1.15676194461121	0.327	0.169	5.01484872029303e-32
Tmsb4x	3.24539263932099e-35	0.519731898251226	0.997	0.985	5.31984761437497e-31
Hp	1.42874002660409e-33	0.601618299858056	0.06	0.005	2.34199065160942e-29
Fcer2a	2.91583819510917e-32	-0.857315313509556	0.128	0.314	4.77964196942294e-28
S100a4	5.29705400603184e-32	0.854408465306542	0.115	0.029	8.68293092668739e-28
Tpt1	7.64721139463592e-32	0.229244105085344	0.998	0.994	1.25353089180872e-27
Rps16	9.42908190098748e-32	0.24216242656464	0.988	0.99	1.54561510520987e-27
Slpi	1.14326609029148e-31	0.580582712758951	0.062	0.007	1.87404177520579e-27
Fkbp5	1.43274449794463e-31	0.488954131512783	0.087	0.016	2.34855478103083e-27
Gm43305	1.75579704798705e-31	0.573234160817538	0.074	0.011	2.87810252106037e-27
Ppbp	2.01829682203123e-31	1.23932937214873	0.194	0.076	3.30839215067359e-27
Rpl13	1.62230366309246e-30	0.252333870612119	0.997	0.993	2.65928016454117e-26
Rpl8	2.06310279148301e-30	0.290015095963752	0.976	0.96	3.38183809579896e-26
Rpsa	3.76050523531378e-30	0.274374617146776	0.987	0.972	6.16422018172636e-26
Ifitm2	5.09665884765754e-30	0.677948080578446	0.082	0.015	8.35444318308024e-26
Rps24	8.71826529234343e-30	0.221879834868377	0.997	0.995	1.42909804672094e-25
Cd14	7.48891159396983e-29	0.423913182253479	0.039	0.001	1.22758238848353e-24
Stfa2l1	1.49546383403016e-28	0.39542896843092	0.035	0	2.45136431674225e-24
mt-Co3	3.27744420617019e-28	-0.215339269634615	0.996	0.999	5.37238654275418e-24
Ccl6	9.48522199942681e-28	0.502009409962116	0.054	0.005	1.55481759014604e-23
Tmsb10	3.07627353274516e-27	-0.422447364087075	0.738	0.826	5.04262757487586e-23
Satb1	1.2408009602211e-26	-0.579345506346896	0.427	0.615	2.03392093399443e-22
E330020D12Rik	1.2659794405981e-26	-0.968290080575047	0.127	0.281	2.0751934990284e-22
mt-Nd2	2.49351609370378e-26	-0.316770531606851	0.886	0.958	4.08737158079924e-22
Rpl39	6.87220426726969e-26	-0.270959343743509	0.923	0.944	1.12649172349085e-21
G0s2	1.87552078758641e-25	0.360714052550134	0.032	0	3.07435367501165e-21
Gp9	3.16358679370431e-25	0.86617401166127	0.143	0.052	5.1857514722401e-21
mt-Atp6	3.67173628170353e-25	-0.227516473133468	0.993	0.998	6.01871011296843e-21
Rps10	3.71720461996056e-25	0.229321501869899	0.984	0.978	6.09324181303935e-21
Foxp1	1.17621549315566e-24	-0.430532514254399	0.678	0.792	1.92805243638076e-20
Vps37b	1.58278118537699e-24	-0.627816291210716	0.405	0.566	2.59449491906996e-20
Camp	1.74130374195744e-24	0.309047404867217	0.029	0	2.85434509381664e-20
Tpm2	2.65863635521118e-24	0.675897592378604	0.059	0.009	4.35803671346216e-20
Itgb1	4.03810153865424e-24	0.671362213673996	0.146	0.055	6.61925604216204e-20
Cald1	9.52792394653026e-24	0.7794257762159	0.089	0.023	1.56181729331524e-19
Asprv1	1.5054968008554e-23	0.423759925318222	0.036	0.002	2.46781035596217e-19
Ago2	1.51365209810314e-23	-0.675177721575237	0.257	0.423	2.48117851921067e-19
1810058I24Rik	2.51639227993076e-23	0.904570939786667	0.386	0.26	4.1248702252625e-19
Rps3a1	2.51670095309368e-23	0.232285632064192	0.988	0.974	4.12537620231116e-19
Rpl41	1.50877468602898e-22	-0.293073282390912	0.891	0.932	2.4731834653387e-18
Rpl37a	1.96910271114974e-22	-0.246270988270369	0.969	0.966	3.22775316411665e-18
Mmp8	2.29129046807935e-22	0.355277230594598	0.033	0.001	3.75588333527566e-18
Cd74	2.87228024755198e-22	-0.176487174918082	0.997	0.997	4.70824178178721e-18
