Genes	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
Chil3	5.68067296759102e-62	2.08279938700178	0.337	0.005	9.3117591284752e-58
S100a8	1.1983404469617e-60	3.49849836061854	0.312	0.001	1.96431966065962e-56
S100a9	3.21133142798239e-57	3.92203891120794	0.312	0.005	5.26401447674873e-53
Nfkbia	3.29016046640067e-40	-1.601116286314	0.441	0.888	5.39323103652399e-36
Junb	4.61426287661202e-31	-1.02740875522948	0.876	0.975	7.56369970734241e-27
Nfkbiz	3.60029716862124e-30	-2.13051637071382	0.104	0.562	5.90160711880393e-26
Ctla2a	1.22060491102512e-28	1.46112733487872	0.871	0.658	2.00081557015237e-24
Icam1	2.21783221631189e-28	-2.13289731001153	0.144	0.575	3.63547056897846e-24
Cd69	5.74217131762008e-26	-2.34892145411299	0.178	0.572	9.41256722384283e-22
Nfkbid	2.81880640755655e-25	-2.00194347479538	0.059	0.466	4.6205874632667e-21
Retnlg	1.06895496877114e-24	1.98671067485824	0.124	0	1.75223098480965e-20
Tnfaip3	4.67000864456259e-24	-1.41244454025195	0.347	0.727	7.655078170167e-20
Pf4	2.02254058670629e-23	1.99401209267242	0.495	0.194	3.31534852972894e-19
Gm42418	2.16245910785296e-22	-0.706744521348309	0.995	0.999	3.54470296959257e-18
Zfp36l2	2.17027002498224e-22	-1.01972249445818	0.728	0.898	3.5575066249509e-18
Gng11	5.87879656123123e-22	1.69684225645096	0.46	0.173	9.63652332317023e-18
Dusp1	6.86339638837643e-22	-1.33674264086206	0.238	0.644	1.12504793598266e-17
Myl9	1.30547787979086e-21	1.79517642664781	0.272	0.055	2.13993934055318e-17
Ly6e	1.74197267424868e-21	1.22685513223517	0.619	0.31	2.85544160762844e-17
Ier5	5.90767525349381e-21	-1.41769203633673	0.267	0.627	9.68386127552706e-17
Dusp2	1.37569571535322e-20	-1.08177438572838	0.728	0.876	2.25504041660701e-16
Lyz2	5.02194408226076e-20	1.49965202381274	0.381	0.124	8.23197073964184e-16
Pim1	1.23478450455981e-19	-1.27568788402613	0.416	0.714	2.02405875987445e-15
Alox5ap	2.06294267312388e-19	1.34439715796423	0.188	0.025	3.38157562978466e-15
